groupsCovered,groupsCoveredWithoutDefaultBitmap,groupSizeDist,placementDist,placementNumHostsPerLeaf,seed,podsAlgorithm,podsNumBitmaps,podsNumNodesPerBitmap,podsRedundancyPerBitmap,podsNumRules,leafsAlgorithm,leafsNumBitmaps,leafsNumNodesPerBitmap,leafsRedundancyPerBitmap,leafsNumRules
703389,703389,wve,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000
779576,779511,wve,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000
779511,779511,wve,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000
799847,45563,uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000
754817,168937,uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,10000
506909,506909,uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,64000
697667,230483,uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,10000
543309,543309,uniform,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,64000
743490,743128,wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000
743128,743128,wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000
829732,829732,wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000
829732,829732,wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000
927816,927816,wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000
927816,927816,wve,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,64000
875126,875126,wve,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000
843897,843897,wve,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,10000
995926,995926,wve,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,10000
997491,997491,wve,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,10000
705746,699360,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000
699360,699360,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000
710678,701821,wve,colocate-colocate-uniform,24,0,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000
701821,701821,wve,colocate-colocate-uniform,24,0,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000
779426,779267,wve,colocate-colocate-uniform,24,0,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000
779267,779267,wve,colocate-colocate-uniform,24,0,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000
786633,786463,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000
818045,818044,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,10000
955615,955615,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,10000
997663,997663,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,10000
742490,741843,wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000
741843,741843,wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000
826772,826772,wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000
826772,826772,wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000
703517,699213,wve,colocate-colocate-uniform,24,2,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000
699213,699213,wve,colocate-colocate-uniform,24,2,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000
793883,793811,wve,colocate-colocate-uniform,24,2,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000
793811,793811,wve,colocate-colocate-uniform,24,2,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000
892521,892521,wve,colocate-colocate-uniform,24,2,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000
892521,892521,wve,colocate-colocate-uniform,24,2,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,64000
924572,924572,wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000
894852,894852,wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,10000
997945,997945,wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,10000
998261,998261,wve,colocate-colocate-uniform,24,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,10000
716138,702901,wve,colocate-colocate-uniform,48,0,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000
702901,702901,wve,colocate-colocate-uniform,48,0,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000
701190,697086,wve,colocate-colocate-uniform,24,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000
788197,788011,wve,colocate-colocate-uniform,24,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,10000
887729,887729,wve,colocate-colocate-uniform,24,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,10000
998466,998466,wve,colocate-colocate-uniform,24,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,64000
748924,743725,wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000
743725,743725,wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000
828678,828678,wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000
828678,828678,wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000
706058,700113,wve,colocate-colocate-uniform,48,2,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000
700113,700113,wve,colocate-colocate-uniform,48,2,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000
788224,788222,wve,colocate-colocate-uniform,48,2,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000
788222,788222,wve,colocate-colocate-uniform,48,2,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000
923518,923518,wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000
809533,809506,wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,10000
977194,977194,wve,colocate-colocate-uniform,48,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,64000
792114,787017,uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,10000
708986,527481,wve,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000
527481,527481,wve,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000
757980,712520,wve,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000
775989,745482,wve,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,10000
769421,732173,wve,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,10000
885470,885470,wve,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,10000
969154,969154,wve,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,10000
702692,519446,wve,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,10000
519446,519446,wve,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,exact-match,10,3,0,64000
739722,714059,wve,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,10000
714059,714059,wve,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,exact-match,20,3,0,64000
784750,783335,wve,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000
783335,783335,wve,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,64000
718451,498861,wve,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000
498861,498861,wve,colocate-uniform,uniform,2,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,64000
730692,730692,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,64000
750683,750460,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,10000
750460,750460,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,64000
689547,670915,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,10000
670915,670915,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,64000
730257,729860,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,10000
729860,729860,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,64000
805492,805220,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,10000
805220,805220,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,64000
963908,963908,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,64000
998500,998500,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,10000
998500,998500,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,64000
767910,767240,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,10000
767240,767240,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,64000
794584,794584,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,64000
911404,911404,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,10000
911404,911404,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,64000
998500,998500,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,10000
998500,998500,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,64000
998500,998500,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,10000
998500,998500,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,64000
861450,861448,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,10000
861448,861448,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,64000
812801,812801,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,64000
681375,654374,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000
654374,654374,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,64000
697624,688949,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,10000
688949,688949,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,64000
772877,772877,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,24,64000
805496,805455,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,10000
805455,805455,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,48,64000
726898,716672,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,10000
716672,716672,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,64000
764794,764076,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,10000
764076,764076,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,64000
841654,841547,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,10000
841547,841547,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,64000
986114,986114,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,24,64000
998550,998550,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,10000
998550,998550,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,48,64000
803138,802656,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,10000
802656,802656,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,64000
844360,844360,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,64000
940052,940052,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,10000
940052,940052,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,64000
998550,998550,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,10000
998550,998550,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,24,64000
998550,998550,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,10000
998550,998550,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,48,64000
898340,898340,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,10000
898340,898340,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,64000
857366,857366,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,64000
713666,701100,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000
701100,701100,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,64000
740189,733774,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,10000
733774,733774,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,64000
818875,818875,uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,6,64000,exact-match,30,3,0,10000
