groupSizeDist,placementDist,placementNumHostsPerLeaf,seed,podsAlgorithm,podsNumBitmaps,podsNumNodesPerBitmap,podsRedundancyPerBitmap,podsNumRules,leafsAlgorithm,leafsNumBitmaps,leafsNumNodesPerBitmap,leafsRedundancyPerBitmap,leafsNumRules,unicastTraffic,multicastTraffic,baseeratTraffic,overlayTrafficCorrected,unicastTraffic64B,multicastTraffic64B,baseeratTraffic64B,overlayTrafficCorrected64B,unicastTraffic512B,multicastTraffic512B,baseeratTraffic512B,overlayTrafficCorrected512B,unicastTraffic1500B,multicastTraffic1500B,baseeratTraffic1500B,overlayTrafficCorrected1500B
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,64000,2385267270,415953027,415953036,825915054,271920468780,47418645078,50422959762.5,94154316156,1340520205740,233765601174,236769919890.5,464164260348,3697164268500,644727191850,647731519458.5,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,10000,2385267270,415953027,419362596,825915054,271920468780,47418645078,50857680524.5,94154316156,1340520205740,233765601174,238732123532.5,464164260348,3697164268500,644727191850,653062368380.5,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,6,64000,2385267270,415953027,419362596,825915054,271920468780,47418645078,50857387580.5,94154316156,1340520205740,233765601174,238731830588.5,464164260348,3697164268500,644727191850,653062075436.5,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,10000,2385267270,415953027,426481489,825915054,271920468780,47418645078,51701266995.875,94154316156,1340520205740,233765601174,242764974067.875,464164260348,3697164268500,644727191850,664128685199.875,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,12,64000,2385267270,415953027,426481489,825915054,271920468780,47418645078,51701266995.875,94154316156,1340520205740,233765601174,242764974067.875,464164260348,3697164268500,644727191850,664128685199.875,1280168333700
uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000,3562264086,651880370,1854120475,1297769740,406098105804,74314362180,216136543139.5,147945750360,2001992416332,366356767940,1046782515939.5,729346593880,5521509333300,1010414573500,2878653545239.5,2011543097000
uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,64000,3562264086,651880370,891292340,1297769740,406098105804,74314362180,106162726721.5,147945750360,2001992416332,366356767940,505461695041.5,729346593880,5521509333300,1010414573500,1386058526961.5,2011543097000
uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,10000,3562264086,651880370,1531522334,1297769740,406098105804,74314362180,180080571442.75,147945750360,2001992416332,366356767940,866202577074.75,729346593880,5521509333300,1010414573500,2379346643066.75,2011543097000
uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,64000,3562264086,651880370,734416281,1297769740,406098105804,74314362180,88976375308.75,147945750360,2001992416332,366356767940,417994869196.75,729346593880,5521509333300,1010414573500,1143598154824.75,2011543097000
uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,10000,3562264086,651880370,1434804342,1297769740,406098105804,74314362180,169342847484.75,147945750360,2001992416332,366356767940,812135192700.75,729346593880,5521509333300,1010414573500,2229721882596.75,2011543097000
uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,64000,3562264086,651880370,722830770,1297769740,406098105804,74314362180,87937247076.75,147945750360,2001992416332,366356767940,411765432036.75,729346593880,5521509333300,1010414573500,1125922232796.75,2011543097000
uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,10000,3562264086,651880370,1516750208,1297769740,406098105804,74314362180,181946325870.375,147945750360,2001992416332,366356767940,861450419054.375,729346593880,5521509333300,1010414573500,2359999624558.375,2011543097000
uniform,colocate-uniform,uniform,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,64000,3562264086,651880370,712265334,1297769740,406098105804,74314362180,90000127500.375,147945750360,2001992416332,366356767940,409094997132.375,729346593880,5521509333300,1010414573500,1112813147124.375,2011543097000
